id,desc,lat,lng,modes,extra,equiv
COESPK:BAR1,Bear Creek at McKee Rd,37.3089,-120.4439,barqr=AT MCKEE RD  ,COE,,,54.7535;Ra01a5b8ca4f1ed41,Bear Creek O4 L2 Drainage:552km2 AvgFlow:27cfs AvgPrecip:318mm AvgTemp:17C
COESPK:NHGO,Calaveras River outflow New Hogan Dam & Lake,38.1485, -120.8256,nhgqr=FLOW-RES OUT,COE,,,881.8636;Rd578c96a7dd5c041,Calaveras River O6 L2 Drainage:997km2 AvgFlow:233cfs AvgPrecip:549mm AvgTemp:16C
COESPK:NMLO,Stanislaus River outflow New Melones Dam & Lake,37.9464, -120.5301,nmlr=FLOW-RES OUT,USBR,,,648.8919;R068145ba35bbea41,Stanislaus River O6 L2 Drainage:2355km2 AvgFlow:1055cfs AvgPrecip:590mm AvgTemp:16C
COESPK:OROO,Feather River outflow Oroville Dam & LakeOroville,39.5333, -121.4888,oror=FLOW-RES OUT,DWR,,,998.4159;R0c027fbcf18ee241,Feather River O6 L2 Drainage:9313km2 AvgFlow:4399cfs AvgPrecip:921mm AvgTemp:16C
COESPK:OWNO,Owens Creek outflow Owens Dam & Reservoir,37.3131, -120.1868,ownqr=FLOW-RES OUT,COE,,,251.1363;R713d32506b32e341,Owens Creek O2 L3 Drainage:66km2 AvgFlow:4cfs AvgPrecip:344mm AvgTemp:17C
COESPK:PAOO,Muddy Creek outflow Paonia Dam & Reservoir CO,38.9418, -107.3535,paor=FLOW-RES OUT,FMC&RC,,,675.3543;R7b14de71b30fe941,North Fork Gunnison River O5 L7 Drainage:1275km2 AvgFlow:440cfs AvgPrecip:470mm AvgTemp:7C
COESPK:PNF1,Kings River Below North Fork Kings River,36.8746, -119.1422,pnfqr=BLW NF KINGS,COE,,,939.6359;R1f85f39e2595e541,Kings River O6 L4 Drainage:2467km2 AvgFlow:1395cfs AvgPrecip:616mm AvgTemp:17C
COESPK:PNF2,Mill Creek near Piedra,36.8185, -119.3418,pnfqr=NR PIEDRA    ,COE,,,913.3095;Rb4c876402c2c9c41,Mill Creek O4 L5 Drainage:329km2 AvgFlow:42cfs AvgPrecip:486mm AvgTemp:17C
COESPK:PNFO,Kings River outflow Pine Flat Dam & Lake,36.8305,-119.3364,pnfqr=FLOW-RES OUT,COE,,,990.7714;R2db24d75a119dc41,Kings River O6 L4 Drainage:3999km2 AvgFlow:1913cfs AvgPrecip:516mm AvgTemp:17C
COESPK:PNVO,Ogden River outflow Pineview Dam & Reservoir UT,41.2548, -111.8459,pnvr=FLOW-RES OUT,WBWCD,,,218.4832;R333303779cb5ec41,Ogden River O4 L5 Drainage:792km2 AvgFlow:227cfs AvgPrecip:803mm AvgTemp:8C
COESPK:PRSO,Prosser Creek outflow Prosser Creek Dam & Reservoir,39.3733, -120.1334,prsr=FLOW-RES OUT,USBR,,,853.2813;Rc5201020aa5cdc41,Prosser Creek O3 L5 Drainage:130km2 AvgFlow:71cfs AvgPrecip:689mm AvgTemp:6C
COESPK:RDFO,Big Brush Creek outflow Red Fleet Dam & Reservoir UT,40.5821, -109.4352,rdfr=FLOW-RES OUT,UWCD,,,920.942;R7b149a33afa7e841,Big Brush Creek O3 L6 Drainage:206km2 AvgFlow:44cfs AvgPrecip:254mm AvgTemp:8C
COESPK:RDGO,Uncompahgre River outflow Ridgway Dam & Reservoir CO,38.2383, -107.7598,rdgr=FLOW-RES OUT,TCWCD,,,867.5545;R8d974ea30788be41,Uncompahgre River O4 L6 Drainage:674km2 AvgFlow:204cfs AvgPrecip:390mm AvgTemp:7C
COESPK:RKPO,Weber River outflow Wanship Dam & Rockport Lake UT,40.7930, -111.4059,rkpr=FLOW-RES OUT,WBWCD,,,674.926;R17d90e22dbbcee41,Weber River O5 L4 Drainage:850km2 AvgFlow:272cfs AvgPrecip:440mm AvgTemp:6C
COESPK:SCC1,Tule River near Springville,36.10060,-118.86860,sccqr=NR SPRINGVIL ,COE,,,819.9216;R7f6a70d34d15e541, O5 L4 Drainage:643km2 AvgFlow:175cfs AvgPrecip:314mm AvgTemp:18C
COESPK:SCC2,Tule River near Success,36.04250,-118.85670,sccqr=NR SUCCESS  ,COE,,,999.5565;Rac1cda51b52bbb41,Crew Creek O2 L6 Drainage:11km2 AvgFlow:1cfs AvgPrecip:387mm AvgTemp:17C
COESPK:SCCO,Tule River outflow Success Dam & Lake,36.0566, -118.9241,sccqr=FLOW-RES OUT,COE,,,365.4011;R1058390086b9be41,Tule River O5 L4 Drainage:1004km2 AvgFlow:202cfs AvgPrecip:300mm AvgTemp:18C
COESPK:SHAO,Sacramento River outflow Shasta Dam & Lake Shasta,40.7164, -122.4230,shar=FLOW-RES OUT,USBR,,,410.6901;Re5d022442165ea41,Sacramento River O6 L1 Drainage:15359km2 AvgFlow:10525cfs AvgPrecip:1588mm AvgTemp:16C
COESPK:STPO,LittleTruckee River outflow Stampede Dam & Reservoir,39.4679, -120.1030,stpr=FLOW-RES OUT,USBR,,,996.1394;Rbe9fd2fa8497df41,Little Truckee River O4 L5 Drainage:267km2 AvgFlow:151cfs AvgPrecip:765mm AvgTemp:7C
COESPK:STRO,Strawberry River outflow Starvation Dam & Reservoir UT,40.1841, -110.4429,strr=FLOW-RES OUT,CUWCD,,,974.3284;Re92609da9722e041,Strawberry River O6 L8 Drainage:2533km2 AvgFlow:164cfs AvgPrecip:251mm AvgTemp:8C
COESPK:TRM1,Dry Creek near Lemoncove,36.4480, -119.0285,trmqr=NR LEMONCOVE,COE,,,731.2632;R79e9a6ac1a7ee341,Dry Creek O4 L6 Drainage:194km2 AvgFlow:53cfs AvgPrecip:470mm AvgTemp:17C
COESPK:TRM2,Kaweah River at Three Rivers,36.4439, -118.9025,trmqr=AT THREE RIV,COE,,,884.5899;R00009073f63be841,Kaweah River O5 L5 Drainage:1088km2 AvgFlow:565cfs AvgPrecip:506mm AvgTemp:17C
COESPK:TRMO,Kaweah River outflow Terminus Dam Lake Kaweah,36.3887, -119.0452,trmqr=FLOW-RES OUT,COE,,,53.7563;R1d5a204ebbcbe841,Kaweah River O5 L5 Drainage:1710km2 AvgFlow:626cfs AvgPrecip:382mm AvgTemp:17C
COESPK:TULO,Stanislaus River outflow Tulloch Reservoir,37.8760, -120.6055,tulr=FLOW-RES OUT,USBR,,,68.1829;Rb6f3e17a4728e541,Stanislaus River O6 L2 Drainage:2537km2 AvgFlow:1073cfs AvgPrecip:541mm AvgTemp:16C
COESPK:VALO,Los Pinos River outflow Vallecito Dam & Reservoir CO,37.3773, -107.5799,valr=FLOW-RES OUT,USBR,,,817.0154;R736819b2ee55d941,Los Pinos River O4 L6 Drainage:659km2 AvgFlow:407cfs AvgPrecip:739mm AvgTemp:6C
COESPK:WRS1,Russian River near Healdsburg,38.6133,-122.8353,wrsqr=NR HEALDSBUR,COE,,,956.6811;R5a6433d00ce4dd41,Russian River O5 L1 Drainage:2049km2 AvgFlow:1330cfs AvgPrecip:1054mm AvgTemp:15C
COESPK:WRS2,Russian River near Guerneville,38.4994,-122.9972,wrsqr=NR GUERNEVIL,COE,,,581.3446;Rb4c8cee2817de641,Russian River O5 L1 Drainage:3552km2 AvgFlow:2315cfs AvgPrecip:1278mm AvgTemp:14C
COESPK:WRS3,Russian River near Geyserville,38.7128,-122.8947,wrsqr=NR GEYSERVIL,COE,,,23.2527;Re17a64220b22d741,Russian River O5 L1 Drainage:1702km2 AvgFlow:1180cfs AvgPrecip:1054mm AvgTemp:15C
COESPK:WRSO,Russian River outflow Warm Springs Dam Lake Sonoma,38.7196, -123.0006,wrsqr=FLOW-RES OUT,COE,,,853.8982;R0ad7a32a3dd58d41, O3 L3 Drainage:336km2 AvgFlow:94cfs AvgPrecip:1108mm AvgTemp:15C
