DATE,FLOW,STAGE,TEMP,VDATE,,
2/21/2014,3.002,,,,,42351.8623
2/22/2014,3.002,,,,,42350.8623
2/23/2014,3.002,,,,,42349.8623
2/24/2014,2.999,,,,,42348.8623
2/25/2014,2.9791,,,,,42347.8623
2/26/2014,3.0244,,,,,42346.8623
2/27/2014,3.3586,,,,,42345.8623
2/28/2014,4.318,,,,,42344.8623
3/1/2014,3.7996,,,,,42343.8623
3/2/2014,3.3187,,,,,42342.8623
3/3/2014,3.1938,,,,,42341.8623
3/4/2014,3.1337,,,,,42340.8623
3/5/2014,3.088,,,,,42339.8623
3/6/2014,3.0888,,,,,42338.8623
3/7/2014,3.0571,,,,,42337.8623
3/8/2014,3.044,,,,,42336.8623
3/9/2014,3.0341,,,,,42335.8623
3/10/2014,3.0249,,,,,42334.8623
3/11/2014,3.0291,,,,,42333.8623
3/12/2014,3.0191,,,,,42332.8623
3/13/2014,3.0019,,,,,42331.8623
3/14/2014,3.017,,,,,42330.8623
3/15/2014,3.0086,,,,,42329.8623
3/16/2014,2.997,,,,,42328.8623
3/17/2014,2.997,,,,,42327.8623
3/18/2014,2.997,,,,,42326.8623
3/19/2014,2.9922,,,,,42325.8623
3/20/2014,2.997,,,,,42324.8623
3/21/2014,2.997,,,,,42323.8623
3/22/2014,2.997,,,,,42322.8623
3/23/2014,2.997,,,,,42321.8623
3/24/2014,2.997,,,,,42320.8623
3/25/2014,2.996,,,,,42319.8623
3/26/2014,3.9735,,,,,42318.8623
3/27/2014,4.7238,,,,,42317.8623
3/28/2014,4.7375,,,,,42316.8623
3/29/2014,4.7454,,,,,42315.8623
3/30/2014,4.8037,,,,,42314.8623
3/31/2014,4.8032,,,,,42313.8623
4/1/2014,4.8178,,,,,42312.8623
4/2/2014,4.8724,,,,,42311.8623
4/3/2014,4.8599,,,,,42310.8623
4/4/2014,4.904,,,,,42309.8623
4/5/2014,4.904,,,,,42308.8623
4/6/2014,4.9605,,,,,42307.8623
4/7/2014,5.0902,,,,,42306.8623
4/8/2014,5.0994,,,,,42305.8623
4/9/2014,5.1674,,,,,42304.8623
4/10/2014,5.2119,,,,,42303.8623
4/11/2014,5.218,,,,,42302.8623
4/12/2014,5.218,,,,,42301.8623
4/13/2014,5.218,,,,,42300.8623
4/14/2014,5.218,,,,,42299.8623
4/15/2014,5.218,,,,,42298.8623
4/16/2014,5.218,,,,,42297.8623
4/17/2014,5.218,,,,,42296.8623
4/18/2014,5.218,,,,,42295.8623
4/19/2014,5.218,,,,,42294.8623
4/20/2014,5.2119,,,,,42293.8623
4/21/2014,5.218,,,,,42292.8623
4/22/2014,5.2303,,,,,42291.8623
4/23/2014,5.218,,,,,42290.8623
4/24/2014,5.218,,,,,42289.8623
4/25/2014,5.5887,,,,,42288.8623
4/26/2014,5.6179,,,,,42287.8623
4/27/2014,5.518,,,,,42286.8623
4/28/2014,5.518,,,,,42285.8623
4/29/2014,5.518,,,,,42284.8623
4/30/2014,5.518,,,,,42283.8623
5/1/2014,5.518,,,,,42282.8623
5/2/2014,5.518,,,,,42281.8623
5/3/2014,5.518,,,,,42280.8623
5/4/2014,5.518,,,,,42279.8623
5/5/2014,5.518,,,,,42278.8623
5/6/2014,5.5707,,,,,42277.8623
5/7/2014,5.4925,,,,,42276.8623
5/8/2014,5.518,,,,,42275.8623
5/9/2014,5.5529,,,,,42274.8623
5/10/2014,5.6415,,,,,42273.8623
5/11/2014,5.674,,,,,42272.8623
5/12/2014,5.674,,,,,42271.8623
5/13/2014,5.7096,,,,,42270.8623
5/14/2014,5.8264,,,,,42269.8623
5/15/2014,5.7866,,,,,42268.8623
5/16/2014,5.7866,,,,,42267.8623
5/17/2014,5.8197,,,,,42266.8623
5/18/2014,5.7643,,,,,42265.8623
5/19/2014,5.6963,,,,,42264.8623
5/20/2014,5.7611,,,,,42263.8623
5/21/2014,5.6656,,,,,42262.8623
5/22/2014,5.7078,,,,,42261.8623
5/23/2014,5.674,,,,,42260.8623
5/24/2014,5.674,,,,,42749.2098
5/25/2014,5.674,,,,,42755.5509
5/26/2014,5.674,,,,,42742.0316
5/27/2014,5.6521,,,,,42256.8623
5/28/2014,5.674,,,,,42255.8623
5/29/2014,5.5718,,,,,42254.8623
5/30/2014,5.461,,,,,42253.8623
5/31/2014,5.4617,,,,,42252.8623
6/1/2014,5.4412,,,,,42251.8623
6/2/2014,5.4546,,,,,42250.8623
6/3/2014,5.499,,,,,42249.8623
6/4/2014,5.5117,,,,,42521.6274
6/5/2014,5.518,,,,,42520.6274
6/6/2014,5.518,,,,,42519.6274
6/7/2014,5.518,,,,,42518.6274
6/8/2014,5.518,,,,,42517.6274
6/9/2014,5.4927,,,,,42516.6274
6/10/2014,5.4969,,,,,42515.6274
6/11/2014,5.518,,,,,42514.6274
6/12/2014,5.5245,,,,,42513.6274
6/13/2014,5.518,,,,,42512.6274
6/14/2014,5.518,,,,,42511.6274
6/15/2014,5.5245,,,,,42510.6274
6/16/2014,5.518,,,,,42509.6274
6/17/2014,5.5204,,,,,42508.6274
6/18/2014,5.5635,,,,,42507.6274
6/19/2014,5.561,,,,,42535.7557
6/20/2014,5.5789,,,,,42534.7557
6/21/2014,5.6025,,,,,42533.7557
6/22/2014,5.6025,,,,,42532.7557
6/23/2014,5.6025,,,,,42531.7557
6/24/2014,5.609,,,,,42530.7557
6/25/2014,5.648,,,,,42529.7557
6/26/2014,5.7162,,,,,42528.7557
6/27/2014,5.7049,,,,,42527.7557
6/28/2014,5.6545,,,,,42526.7557
6/29/2014,5.6285,,,,,42525.7557
6/30/2014,5.6155,,,,,42524.7557
7/1/2014,5.6155,,,,,42523.7557
7/2/2014,5.4524,,,,,42551.6775
7/3/2014,5.3091,,,,,42550.6775
7/4/2014,5.2894,,,,,42549.6775
7/5/2014,5.2975,,,,,42548.6775
7/6/2014,4.541,,,,,42547.6775
7/7/2014,5.646,,,,,42546.6775
7/8/2014,4.5041,,,,,42545.6775
7/9/2014,4.4958,,,,,42558.0559
7/10/2014,4.493,,,,,42557.0559
7/11/2014,4.5009,,,,,42556.0559
7/12/2014,4.5058,,,,,42555.0559
7/13/2014,4.5041,,,,,42554.0559
7/14/2014,4.5171,,,,,42553.0559
7/15/2014,4.5139,,,,,42552.0559
7/16/2014,4.5106,,,,,42551.0559
7/17/2014,4.5171,,,,,42550.0559
7/18/2014,4.522,,,,,42549.0559
7/19/2014,4.5318,,,,,42548.0559
7/20/2014,4.5238,,,,,42547.0559
7/21/2014,4.5413,,,,,42546.0559
7/22/2014,4.5417,,,,,42545.0559
7/23/2014,4.5399,,,,,42571.9081
7/24/2014,4.5448,,,,,42570.9081
7/25/2014,4.5393,,,,,42569.9081
7/26/2014,4.5334,,,,,42568.9081
7/27/2014,4.5204,,,,,42567.9081
7/28/2014,4.5275,,,,,42566.9081
7/29/2014,4.5409,,,,,42565.9081
7/30/2014,4.5536,,,,,42564.9081
7/31/2014,4.5409,,,,,42580.9229
8/1/2014,4.535,,,,,42579.9229
8/2/2014,4.522,,,,,42578.9229
8/3/2014,4.5508,,,,,42577.9229
8/4/2014,4.5818,,,,,42576.9229
8/5/2014,4.5443,,,,,42575.9229
8/6/2014,4.5578,,,,,42574.9229
8/7/2014,4.5561,,,,,42573.9229
8/8/2014,4.5448,,,,,42572.9229
8/9/2014,4.5401,,,,,42571.9229
8/10/2014,4.5429,,,,,42570.9229
8/11/2014,4.5415,,,,,42569.9229
8/12/2014,4.5447,,,,,42568.9229
8/13/2014,4.545,,,,,42591.5997
8/14/2014,4.5252,,,,,42590.5997
8/15/2014,4.5204,,,,,42589.5997
8/16/2014,4.5106,,,,,42588.5997
8/17/2014,4.5171,,,,,42587.5997
8/18/2014,4.522,,,,,42586.5997
8/19/2014,4.5429,,,,,42585.5997
8/20/2014,4.5657,,,,,42584.5997
8/21/2014,4.5324,,,,,42583.5997
8/22/2014,4.5104,,,,,42582.5997
8/23/2014,4.509,,,,,42581.5997
8/24/2014,4.5187,,,,,42580.5997
8/25/2014,4.525,,,,,42579.5997
8/26/2014,4.5433,,,,,42578.5997
8/27/2014,4.522,,,,,42577.5997
8/28/2014,4.5043,,,,,42607.068
8/29/2014,4.483,,,,,42606.068
8/30/2014,4.4749,,,,,42605.068
8/31/2014,4.483,,,,,42604.068
9/1/2014,4.483,,,,,42603.068
9/2/2014,4.483,,,,,42602.068
9/3/2014,4.483,,,,,42601.068
9/4/2014,4.5023,,,,,42600.068
9/5/2014,4.4737,,,,,42599.068
9/6/2014,4.4938,,,,,42598.068
9/7/2014,4.5127,,,,,42597.068
9/8/2014,4.4877,,,,,42596.068
9/9/2014,4.5074,,,,,42595.068
9/10/2014,4.5204,,,,,42594.068
9/11/2014,4.5445,,,,,42593.068
9/12/2014,4.5417,,,,,42592.068
9/13/2014,4.4663,,,,,42591.068
9/14/2014,4.4121,,,,,42590.068
9/15/2014,4.4519,,,,,42589.068
9/16/2014,4.4765,,,,,42588.068
9/17/2014,4.4765,,,,,42587.068
9/18/2014,4.4846,,,,,42627.0316
9/19/2014,4.4944,,,,,42626.0316
9/20/2014,4.4925,,,,,42625.0316
9/21/2014,4.5399,,,,,42624.0316
9/22/2014,4.5057,,,,,42623.0316
9/23/2014,4.5188,,,,,42622.0316
9/24/2014,4.4883,,,,,42621.0316
9/25/2014,4.4875,,,,,42620.0316
9/26/2014,4.547,,,,,42619.0316
9/27/2014,4.5653,,,,,42618.0316
9/28/2014,4.5361,,,,,42617.0316
9/29/2014,4.4424,,,,,42616.0316
9/30/2014,4.426,,,,,42615.0316
10/1/2014,4.4108,,,,,42614.0316
10/2/2014,4.4093,,,,,42613.0316
10/3/2014,4.4149,,,,,42612.0316
10/4/2014,4.4206,,,,,42611.0316
10/5/2014,4.4262,,,,,42610.0316
10/6/2014,4.4318,,,,,42609.0316
10/7/2014,4.4375,,,,,42608.0316
10/8/2014,4.4431,,,,,42607.0316
10/9/2014,4.4488,,,,,42606.0316
10/10/2014,4.4544,,,,,42605.0316
10/11/2014,4.4601,,,,,42604.0316
10/12/2014,4.4657,,,,,42603.0316
10/13/2014,4.4714,,,,,42602.0316
10/14/2014,4.4771,,,,,42601.0316
10/15/2014,4.4827,,,,,42600.0316
10/16/2014,4.4884,,,,,42599.0316
10/17/2014,4.4941,,,,,42598.0316
10/18/2014,4.4998,,,,,42597.0316
10/19/2014,4.5055,,,,,42596.0316
10/20/2014,4.5112,,,,,42595.0316
10/21/2014,4.5169,,,,,42594.0316
10/22/2014,4.5226,,,,,42593.0316
10/23/2014,4.5283,,,,,42592.0316
10/24/2014,4.534,,,,,42591.0316
10/25/2014,4.5398,,,,,42590.0316
10/26/2014,4.5455,,,,,42589.0316
10/27/2014,4.5512,,,,,42588.0316
10/28/2014,4.557,,,,,42587.0316
10/29/2014,4.5627,,,,,42586.0316
10/30/2014,4.5685,,,,,42585.0316
10/31/2014,4.5742,,,,,42584.0316
11/1/2014,4.5799,,,,,42583.0316
11/2/2014,4.5857,,,,,42582.0316
11/3/2014,4.5861,,,,,42581.0316
11/4/2014,4.553,,,,,42580.0316
11/5/2014,4.553,,,,,42579.0316
11/6/2014,4.553,,,,,42578.0316
11/7/2014,4.5512,,,,,42577.0316
11/8/2014,4.5288,,,,,42576.0316
11/9/2014,4.553,,,,,42575.0316
11/10/2014,4.5233,,,,,42574.0316
11/11/2014,4.5611,,,,,42573.0316
11/12/2014,4.5913,,,,,42572.0316
11/13/2014,4.6223,,,,,42571.0316
11/14/2014,4.5948,,,,,42570.0316
11/15/2014,4.593,,,,,42569.0316
11/16/2014,4.5832,,,,,42568.0316
11/17/2014,4.0749,,,,,42567.0316
11/18/2014,2.7169,,,,,42566.0316
11/19/2014,2.7806,,,,,42565.0316
11/20/2014,2.7749,,,,,42564.0316
11/21/2014,2.8128,,,,,42563.0316
11/22/2014,2.7849,,,,,42562.0316
11/23/2014,2.7827,,,,,42561.0316
11/24/2014,2.7706,,,,,42560.0316
11/25/2014,2.765,,,,,42559.0316
11/26/2014,2.765,,,,,42558.0316
11/27/2014,2.7515,,,,,42557.0316
11/28/2014,2.748,,,,,42556.0316
11/29/2014,2.7451,,,,,42555.0316
11/30/2014,2.7367,,,,,42554.0316
12/1/2014,2.7331,,,,,42553.0316
12/2/2014,2.8313,,,,,42552.0316
12/3/2014,2.9544,,,,,42551.0316
12/4/2014,2.8183,,,,,42550.0316
12/5/2014,2.7842,,,,,42549.0316
12/6/2014,2.7734,,,,,42548.0316
12/7/2014,2.7649,,,,,42547.0316
12/8/2014,2.748,,,,,42546.0316
12/9/2014,2.748,,,,,42545.0316
12/10/2014,2.7473,,,,,42544.0316
12/11/2014,2.7421,,,,,42543.0316
12/12/2014,3.4447,,,,,42542.0316
12/13/2014,4.026,,,,,42541.0316
12/15/2014,2.8,,,,,42539.0316
12/16/2014,2.8804,,,,,42538.0316
12/17/2014,2.8716,,,,,42537.0316
12/18/2014,2.8412,,,,,42536.0316
12/19/2014,2.7989,,,,,42535.0316
12/20/2014,2.782,,,,,42534.0316
12/21/2014,2.782,,,,,42533.0316
12/22/2014,2.777,,,,,42532.0316
12/23/2014,2.765,,,,,42531.0316
12/24/2014,2.765,,,,,42530.0316
12/25/2014,2.9916,,,,,42529.0316
12/26/2014,2.8103,,,,,42528.0316
12/27/2014,2.7819,,,,,42527.0316
12/28/2014,2.765,,,,,42526.0316
12/29/2014,2.765,,,,,42525.0316
12/30/2014,2.7643,,,,,42524.0316
12/31/2014,2.7493,,,,,42523.0316
1/1/2015,2.748,,,,,42522.0316
1/2/2015,2.7469,,,,,42521.0316
1/3/2015,2.7366,,,,,42520.0316
1/4/2015,2.731,,,,,42519.0316
1/5/2015,2.731,,,,,42518.0316
1/6/2015,2.731,,,,,42517.0316
1/7/2015,2.731,,,,,42516.0316
1/8/2015,2.7311,,,,,42515.0316
1/9/2015,2.744,,,,,42514.0316
1/10/2015,2.7515,,,,,42513.0316
1/11/2015,2.7583,,,,,42512.0316
1/12/2015,2.7534,,,,,42643.1591
1/13/2015,2.762,,,,,42642.1591
1/14/2015,2.762,,,,,42641.1591
1/15/2015,2.762,,,,,42640.1591
1/16/2015,2.759,,,,,42639.1591
1/17/2015,2.7612,,,,,42638.1591
1/18/2015,2.762,,,,,42637.1591
1/19/2015,2.762,,,,,42636.1591
1/20/2015,2.762,,,,,42635.1591
1/21/2015,2.762,,,,,42634.1591
1/22/2015,2.762,,,,,42633.1591
1/23/2015,2.762,,,,,42632.1591
1/24/2015,2.7493,,,,,42631.1591
1/25/2015,2.744,,,,,42630.1591
1/26/2015,2.753,,,,,42629.1591
1/27/2015,2.7809,,,,,42628.1591
1/28/2015,2.7728,,,,,42627.1591
1/29/2015,2.762,,,,,42626.1591
1/30/2015,2.7626,,,,,42625.1591
1/31/2015,2.7621,,,,,42624.1591
2/1/2015,2.762,,,,,42623.1591
2/2/2015,2.7561,,,,,42622.1591
2/3/2015,2.7522,,,,,42621.1591
2/4/2015,2.7568,,,,,42620.1591
2/5/2015,2.7567,,,,,42619.1591
2/6/2015,2.7545,,,,,42618.1591
2/7/2015,3.0272,,,,,42617.1591
2/8/2015,2.8708,,,,,42616.1591
2/9/2015,3.2226,,,,,42615.1591
2/10/2015,2.8801,,,,,42614.1591
2/11/2015,2.8305,,,,,42613.1591
2/12/2015,2.8073,,,,,42612.1591
2/13/2015,2.7933,,,,,42611.1591
2/14/2015,2.779,,,,,42610.1591
2/15/2015,2.7748,,,,,42609.1591
2/16/2015,2.7613,,,,,42608.1591
2/17/2015,2.7455,,,,,42607.1591
2/18/2015,2.744,,,,,42606.1591
2/19/2015,2.744,,,,,42605.1591
2/20/2015,2.7475,,,,,42604.1591
2/21/2015,2.7563,,,,,42603.1591
2/22/2015,2.7784,,,,,42602.1591
2/23/2015,2.8011,,,,,42601.1591
2/24/2015,2.7764,,,,,42600.1591
2/25/2015,2.7686,,,,,42599.1591
2/26/2015,2.762,,,,,42598.1591
2/27/2015,2.762,,,,,42597.1591
2/28/2015,2.7951,,,,,42596.1591
3/1/2015,2.7818,,,,,42595.1591
3/2/2015,2.792,,,,,42594.1591
3/3/2015,2.7856,,,,,42593.1591
3/4/2015,2.7679,,,,,42592.1591
3/5/2015,2.762,,,,,42591.1591
3/6/2015,2.762,,,,,42590.1591
3/7/2015,2.762,,,,,42589.1591
3/8/2015,2.762,,,,,42588.1591
3/9/2015,2.7518,,,,,42587.1591
3/10/2015,2.7433,,,,,42586.1591
3/11/2015,2.7412,,,,,42585.1591
3/12/2015,2.7287,,,,,42584.1591
3/13/2015,2.7291,,,,,42583.1591
3/14/2015,2.7312,,,,,42582.1591
3/15/2015,2.7291,,,,,42581.1591
3/16/2015,2.7405,,,,,42580.1591
3/17/2015,2.7277,,,,,42579.1591
3/18/2015,2.8971,,,,,42578.1591
3/19/2015,4.5594,,,,,42577.1591
3/20/2015,4.5817,,,,,42576.1591
3/21/2015,4.585,,,,,42575.1591
3/22/2015,4.585,,,,,42574.1591
3/23/2015,4.585,,,,,42573.1591
3/24/2015,4.5833,,,,,42572.1591
3/25/2015,4.585,,,,,42571.1591
3/26/2015,4.585,,,,,42570.1591
3/27/2015,4.585,,,,,42569.1591
3/28/2015,4.585,,,,,42568.1591
3/29/2015,4.7216,,,,,42567.1591
3/30/2015,4.733,,,,,42566.1591
3/31/2015,4.735,,,,,42565.1591
4/1/2015,4.7373,,,,,42564.1591
4/2/2015,4.739,,,,,42563.1591
4/3/2015,4.7373,,,,,42562.1591
4/4/2015,4.7423,,,,,42561.1591
4/5/2015,4.744,,,,,42560.1591
4/6/2015,4.7407,,,,,42559.1591
4/7/2015,4.7473,,,,,42558.1591
4/8/2015,4.76,,,,,42557.1591
4/9/2015,4.774,,,,,42556.1591
4/10/2015,4.7807,,,,,42555.1591
4/11/2015,4.784,,,,,42554.1591
4/12/2015,4.784,,,,,42553.1591
4/13/2015,4.7772,,,,,42552.1591
4/14/2015,4.784,,,,,42551.1591
4/15/2015,4.784,,,,,42550.1591
4/16/2015,4.7782,,,,,42549.1591
4/17/2015,4.7775,,,,,42548.1591
4/18/2015,4.7738,,,,,42547.1591
4/19/2015,4.7492,,,,,42546.1591
4/20/2015,4.764,,,,,42545.1591
4/21/2015,4.7688,,,,,42544.1591
4/22/2015,4.784,,,,,42543.1591
4/23/2015,4.784,,,,,42542.1591
4/24/2015,4.784,,,,,42541.1591
4/25/2015,4.8598,,,,,42540.1591
4/26/2015,4.8062,,,,,42539.1591
4/27/2015,4.7857,,,,,42538.1591
4/28/2015,4.784,,,,,42537.1591
4/29/2015,4.784,,,,,42536.1591
4/30/2015,4.784,,,,,42535.1591
5/1/2015,4.784,,,,,42534.1591
5/2/2015,4.784,,,,,42533.1591
5/3/2015,4.784,,,,,42532.1591
5/4/2015,4.784,,,,,42531.1591
5/5/2015,4.784,,,,,42530.1591
5/6/2015,4.784,,,,,42529.1591
5/7/2015,4.7924,,,,,42528.1591
5/8/2015,4.784,,,,,42527.1591
5/9/2015,4.784,,,,,42526.1591
5/10/2015,4.784,,,,,42525.1591
5/11/2015,4.7857,,,,,42524.1591
5/12/2015,4.7857,,,,,42523.1591
5/13/2015,4.784,,,,,42522.1591
5/14/2015,4.7857,,,,,42521.1591
5/15/2015,4.7874,,,,,42520.1591
5/16/2015,4.7857,,,,,42519.1591
5/17/2015,4.7994,,,,,42518.1591
5/18/2015,4.8209,,,,,42517.1591
5/19/2015,4.8233,,,,,42516.1591
5/20/2015,4.825,,,,,42515.1591
5/21/2015,4.8233,,,,,42514.1591
5/22/2015,4.825,,,,,42513.1591
5/23/2015,4.8233,,,,,42512.1591
5/24/2015,4.8034,,,,,42511.1591
5/25/2015,4.7908,,,,,42510.1591
5/26/2015,4.8692,,,,,42509.1591
5/27/2015,4.6546,,,,,42508.1591
5/28/2015,4.6257,,,,,42507.1591
5/29/2015,4.624,,,,,42506.1591
5/30/2015,4.63,,,,,42505.1591
5/31/2015,4.658,,,,,42504.1591
6/1/2015,4.6573,,,,,42503.1591
6/2/2015,4.655,,,,,42502.1591
6/3/2015,4.6313,,,,,42501.1591
6/4/2015,4.624,,,,,42500.1591
6/5/2015,4.624,,,,,42499.1591
6/6/2015,4.6257,,,,,42498.1591
6/7/2015,4.624,,,,,42497.1591
6/8/2015,4.639,,,,,42496.1591
6/9/2015,4.624,,,,,42495.1591
6/10/2015,4.629,,,,,42494.1591
6/11/2015,4.624,,,,,42493.1591
6/12/2015,4.624,,,,,42492.1591
6/13/2015,4.624,,,,,42491.1591
6/14/2015,4.63,,,,,42490.1591
6/15/2015,4.6463,,,,,42489.1591
6/16/2015,4.6505,,,,,42488.1591
6/17/2015,4.6323,,,,,42487.1591
6/18/2015,4.6473,,,,,42486.1591
6/19/2015,4.6711,,,,,42485.1591
6/20/2015,4.6578,,,,,42484.1591
6/21/2015,4.6799,,,,,42483.1591
6/22/2015,4.688,,,,,42482.1591
6/23/2015,4.688,,,,,42481.1591
6/24/2015,4.688,,,,,42480.1591
6/25/2015,4.6768,,,,,42479.1591
6/26/2015,4.6205,,,,,42478.1591
6/27/2015,4.6322,,,,,42477.1591
6/28/2015,4.6547,,,,,42476.1591
6/29/2015,4.6659,,,,,42475.1591
6/30/2015,4.6788,,,,,42474.1591
7/1/2015,4.6863,,,,,42473.1591
7/2/2015,4.688,,,,,42472.1591
7/3/2015,4.7051,,,,,42471.1591
7/4/2015,4.768,,,,,42470.1591
7/5/2015,4.8031,,,,,42469.1591
7/6/2015,4.7526,,,,,42468.1591
7/7/2015,4.7547,,,,,42467.1591
7/8/2015,4.7517,,,,,42466.1591
7/9/2015,4.8173,,,,,42465.1591
7/10/2015,4.7338,,,,,42464.1591
7/11/2015,4.6947,,,,,42463.1591
7/12/2015,4.688,,,,,42462.1591
7/13/2015,4.688,,,,,42461.1591
7/14/2015,4.688,,,,,42460.1591
7/15/2015,4.688,,,,,42459.1591
7/16/2015,4.688,,,,,42458.1591
7/17/2015,4.688,,,,,42457.1591
7/18/2015,4.688,,,,,42456.1591
7/19/2015,4.688,,,,,42455.1591
7/20/2015,4.6897,,,,,42454.1591
7/21/2015,4.6922,,,,,42453.1591
7/22/2015,4.688,,,,,42452.1591
7/23/2015,4.6767,,,,,42451.1591
7/24/2015,4.6657,,,,,42450.1591
7/25/2015,4.669,,,,,42449.1591
7/26/2015,4.6723,,,,,42448.1591
7/27/2015,4.7009,,,,,42447.1591
7/28/2015,4.7469,,,,,42446.1591
7/29/2015,4.7925,,,,,42445.1591
7/30/2015,4.8425,,,,,42444.1591
7/31/2015,4.8857,,,,,42443.1591
8/1/2015,4.881,,,,,42442.1591
8/2/2015,4.904,,,,,42441.1591
8/3/2015,4.904,,,,,42440.1591
8/4/2015,4.904,,,,,42439.1591
8/5/2015,5.045,,,,,42438.1591
8/6/2015,4.904,,,,,42437.1591
8/7/2015,4.904,,,,,42436.1591
8/8/2015,4.904,,,,,42435.1591
8/9/2015,4.904,,,,,42434.1591
8/10/2015,4.904,,,,,42433.1591
8/11/2015,4.9014,,,,,42432.1591
8/12/2015,4.8728,,,,,42431.1591
8/13/2015,4.9135,,,,,42430.1591
8/14/2015,4.9744,,,,,42429.1591
8/15/2015,5.0274,,,,,42428.1591
8/16/2015,5.0216,,,,,42427.1591
8/17/2015,4.9099,,,,,42426.1591
8/18/2015,4.998,,,,,42425.1591
8/19/2015,4.9866,,,,,42424.1591
8/20/2015,4.8338,,,,,42423.1591
8/21/2015,4.8474,,,,,42422.1591
8/22/2015,4.8496,,,,,42421.1591
8/23/2015,4.8309,,,,,42420.1591
8/24/2015,4.8321,,,,,42419.1591
8/25/2015,4.8934,,,,,42418.1591
8/26/2015,4.8931,,,,,42417.1591
8/27/2015,4.8773,,,,,42416.1591
8/28/2015,4.8862,,,,,42415.1591
8/29/2015,4.8993,,,,,42414.1591
8/30/2015,4.8967,,,,,42413.1591
8/31/2015,4.8981,,,,,42412.1591
9/1/2015,4.8967,,,,,42411.1591
9/2/2015,4.8949,,,,,42410.1591
9/3/2015,4.8989,,,,,42409.1591
9/4/2015,4.904,,,,,42408.1591
9/5/2015,4.8941,,,,,42407.1591
9/6/2015,4.8711,,,,,42406.1591
9/7/2015,4.848,,,,,42405.1591
9/8/2015,4.848,,,,,42404.1591
9/9/2015,4.8941,,,,,42403.1591
9/10/2015,4.8706,,,,,42402.1591
9/11/2015,4.8233,,,,,42401.1591
9/12/2015,4.825,,,,,42400.1591
9/13/2015,4.8567,,,,,42399.1591
9/14/2015,5.0534,,,,,42398.1591
9/15/2015,5.1661,,,,,42397.1591
9/16/2015,5.1537,,,,,42396.1591
9/17/2015,5.1627,,,,,42395.1591
9/18/2015,5.0738,,,,,42394.1591
9/19/2015,4.8841,,,,,42393.1591
9/20/2015,4.9069,,,,,42392.1591
9/21/2015,5.1083,,,,,42391.1591
9/22/2015,5.1642,,,,,42390.1591
9/23/2015,5.2042,,,,,42389.1591
9/24/2015,5.3298,,,,,42388.1591
9/25/2015,5.336,,,,,42387.1591
9/26/2015,5.4885,,,,,42386.1591
9/27/2015,5.7342,,,,,42385.1591
9/28/2015,5.4367,,,,,42384.1591
9/29/2015,5.4983,,,,,42383.1591
9/30/2015,5.7422,,,,,42382.1591
10/1/2015,5.801,,,,,42381.1591
10/2/2015,5.801,,,,,42380.1591
10/3/2015,5.5167,,,,,42379.1591
